customer_id,customer_name,total_revenue,profit_margin,purchase_frequency
224111,Irene Cardoza,69,69,24
1344432,Darrel Martinez,69,69,20
1039050,Rosie Hayward,69,69,21
1815456,Terry Herring,69,69,20
1392371,Mae Lemons,69,69,17
567932,Marcel Dresner,69,69,16
1049861,Daniel Walton,69,69,24
977967,Gracie Dean,68,68,17
930705,Elizabeth Butler,68,68,23
1248961,Leonard Moynihan,68,68,19
565369,Markus Fuhrmann,68,68,18
1822685,Lewis Crigler,67,67,20
1231909,Andrea McMurray,67,67,25
1599683,Donald Williams,66,66,18
268820,Patrice Morillo,66,66,15
528376,Jonas Meyer,66,66,20
1893783,William Hinton,66,66,14
1375827,Anne Santos,66,66,17
1509978,Elizabeth Smith,66,66,15
1590257,Thomas Lucas,66,66,19
961200,Anthony Sykes,66,66,20
1819252,Ariel Robinson,66,66,21
1284953,Jim Cosby,66,66,19
1596264,Francis Lynch,66,66,15
1988805,Brooke Parnell,66,66,18
1374605,Katherine Ferreira,65,65,15
1240904,Marion Stromain,65,65,16
1860488,Daniel Sherman,65,65,22
1898949,Robert Padula,65,65,17
1312078,Joseph Garner,65,65,19
1920128,Kerman Desaulniers,65,65,19
982052,Charlie Cole,65,65,21
2014226,Theodor Kristoffersen,65,65,22
1076923,Andrew Akhtar,64,64,18
1846024,Rod Scott,64,64,19
1458301,William Templin,64,64,17
1996959,Antonija Horvat,64,64,17
946857,Dylan Taylor,64,64,27
1727849,Denise Smith,64,64,15
1818370,Amber Martinez,64,64,15
1818102,Tyrone Lewis,63,63,24
930304,Mollie Smart,63,63,16
1127638,Harrison Carr,63,63,16
1460501,Nancy Gaston,63,63,12
1094276,Kyle Quinn,63,63,22
1850415,William Jeffery,63,63,14
574327,Jens Himmel,63,63,22
1287610,Angela Cain,63,63,13
1880406,James Claudio,63,63,16
387372,Stepanie Soares,63,63,13
1686021,Herman Stafford,63,63,15
2026801,Anna Svobodov�,62,62,16
1432419,Elmer Henderson,62,62,19
1373561,Ollie Davis,62,62,21
1598675,Mary McKown,62,62,14
1719794,Robert Conley,62,62,17
1414666,Frances Howell,62,62,12
1948390,Laura Sousa,62,62,19
998374,Cerys Farmer,62,62,25
1557811,Mary Bueno,62,62,18
1116156,Anna Moran,62,62,17
1706247,Tracy King,62,62,15
985427,Anthony Davis,61,61,14
1260588,Berniece Turner,61,61,16
1002933,Ella Roberts,61,61,19
2071369,Bazyli Adamczyk,61,61,19
1425307,Clayton Bradley,61,61,15
385971,Staci Harris,61,61,17
497839,Marina Austerlitz,61,61,22
787315,Neera Folliero,61,61,20
1633967,Wayne Banks,61,61,14
792434,Lodovico Bianchi,61,61,11
1253166,John Watson,61,61,19
658900,Charlotte Labont�,60,60,13
1969704,Zrina Topic,60,60,18
738388,Gino Lombardi,60,60,19
1576331,Richard Deming,60,60,18
1957363,Madlyn Johnston,60,60,18
410798,Franziska Kuster,60,60,20
1609589,Richard Smith,60,60,15
1086200,Jennifer Nixon,60,60,14
1483256,Al James,60,60,15
1602426,Joseph Hamilton,60,60,20
1964297,Eloise Sicard,59,59,14
1277243,Mark Enloe,59,59,24
247129,Edward Sims,59,59,19
1553574,Francisco Dysart,59,59,18
1066452,Andrew Webb,59,59,15
1268744,Judy Hoag,59,59,20
1957841,Jennifer Fleischer,59,59,20
1939321,Helena Mi�kovsk�,59,59,14
1312168,Henry Cox,59,59,21
951740,Bethany Lawson,59,59,16
1357822,Jimmy Small,59,59,12
1060423,Eleanor Jackson,58,58,24
1883981,Pearlie Rice,58,58,14
1385568,Beth Adams,58,58,12
476275,Ralf Holtzmann,58,58,13
1785644,Ellen Campbell,58,58,20
1842942,Grace Oneal,58,58,17
1414525,Nell Doyle,58,58,19
239571,Marie Tate,58,58,19
1728581,Keshia King,58,58,16
2082335,Brigliador Morel,58,58,13
1189747,Sam Giles,58,58,14
1944572,Blake Bodenwieser,58,58,16
1427309,Deborah Hinds,58,58,14
1465462,Tony Larson,58,58,17
1986804,Stella Vaca,57,57,18
429663,Frank Waechter,57,57,16
1916988,Elias Gardemeister,57,57,18
1451919,Chelsea Stockton,57,57,16
1720029,Sally Gutierrez,57,57,11
276051,Antione Johnson,57,57,14
1669021,Shaun Steele,57,57,17
1064597,Lewis Gibson,57,57,17
1686889,Mark Hutcheson,57,57,12
1388042,Kenneth Tucker,57,57,18
1701624,Paul King,57,57,12
1146324,Louie Thomas,57,57,18
1730966,Cynthia Brown,57,57,17
1638102,John Thompson,57,57,14
772646,Artemisia Siciliani,57,57,18
614234,Aur�lie LaCaille,56,56,15
1203510,Allison Flores,56,56,16
1981868,James Wallach,56,56,16
1807649,Thomas Williams,56,56,18
1410305,Catherine White,56,56,16
858760,Geoffrey Elfrink,56,56,16
1956520,Bertram Mikkelsen,56,56,15
979530,Kieran Perry,56,56,15
1404845,Alicia Stewart,56,56,15
1625297,John McCray,56,56,17
1800131,Todd Benavides,56,56,15
724534,Rosarmosario Greece,56,56,17
939948,Sophie Winter,56,56,17
1226395,Darryl Stec,56,56,23
496095,Tom Drescher,56,56,11
1891647,Margaret Santiago,56,56,10
1542495,Josephine Colburn,56,56,13
1208615,Jean Vega,56,56,13
921825,Kieran O'Connor,56,56,19
1353843,Silvia Ross,56,56,13
763033,Luisella Napolitano,56,56,17
529903,Angelika Shuster,55,55,17
1212385,Aaron Mitchell,55,55,14
1664824,Barbara Hawkins,55,55,19
1307023,Debbie Nishida,55,55,14
504968,Jennifer Aachen,55,55,19
2037884,Mario �imunovic,55,55,18
1997208,Vulpiano Manzanares,55,55,12
389013,Carolyn Benn,55,55,14
1304549,Gene Ogle,55,55,17
2063107,Lachlan Gormly,55,55,16
204136,Helen Williams,55,55,10
1251181,Shirley Gosha,55,55,18
1416469,Megan Budde,55,55,12
598323,Mike Nadel,55,55,20
501476,Lukas Ritter,55,55,14
1193732,Joshua Gould,55,55,15
1724782,Samantha Maldonado,55,55,18
1541000,Adam Davis,55,55,16
1201225,John Lally,55,55,20
1675644,Lloyd Morgan,54,54,15
1806153,William Ward,54,54,11
1528611,Richard Watkins,54,54,12
1736623,Ellen Jamison,54,54,18
431461,Felix Beyer,54,54,12
1913013,Haizea Saldivar,54,54,12
403915,Stefan Loewe,54,54,17
2090627,Lorena Vukelic,54,54,10
1473522,Susan Cecil,54,54,13
2001755,Mie Huus,54,54,12
1429300,Kenneth Correa,54,54,15
592147,Martin Hartmann,54,54,16
2075340,Tom Moench,54,54,14
1686673,Richard Huggins,54,54,12
930820,Morgan Brennan,54,54,17
2013443,Sandy G�ransson,53,53,17
1702950,Christopher Mathew,53,53,18
1387959,Christine Abernathy,53,53,9
2003358,David Hoffmann,53,53,19
1256256,Madeline Sluss,53,53,22
1848327,Veronica Holt,53,53,16
812462,Minouche Ankone,53,53,15
1887180,Jeanne Wilson,53,53,15
2022412,Gordan Vukovic,53,53,18
1735191,Martha Brathwaite,53,53,15
1568116,Veronica Jones,53,53,18
300844,Christian Larsen,53,53,13
2053447,Karin Bach,53,53,11
1209835,Kevin Winkle,53,53,14
1409340,Lenora Hernandez,53,53,12
1246129,Omar Gonzales,53,53,15
373746,Megan Roundy,53,53,16
1717637,Calvin Buxton,53,53,13
1883630,Robert Segura,53,53,13
1513428,Vincent Goodwin,53,53,14
1785567,Walter Jones,53,53,15
2039658,Lillian Lewis,53,53,14
910032,Henry Shah,53,53,13
1154631,Charlie Shah,52,52,13
1969722,Isabelle Guernon,52,52,14
2004284,Adina Lindholm,52,52,13
186894,Stella Brookfield,52,52,13
1262414,Jeffrey Ortiz,52,52,14
1417165,Ricardo Lindsay,52,52,18
1571311,Joey Lapham,52,52,14
947510,Yasmin Howell,52,52,18
1227948,Hazel Bowman,52,52,11
1510251,Linda Daniel,52,52,17
495181,Stephan Eisenberg,52,52,20
660527,Vachel Coupart,52,52,16
2032912,Rebecca Porter,52,52,15
454932,Christin Fuerst,52,52,14
1210105,Mary McCollum,52,52,14
1199660,Oscar Webb,52,52,17
1074065,Jordan Wyatt,52,52,14
1763642,Karen Smith,52,52,15
1789699,Mark Gorden,52,52,14
1851881,Vernon Keaton,52,52,11
1101386,Taylor Chamberlain,52,52,15
1629416,Kerry Pagan,52,52,12
1414050,Margo Waller,52,52,13
549819,Johanna Hoover,51,51,15
1816342,Brandon Roy,51,51,16
741037,Maia Lori,51,51,14
1224615,Paula Barker,51,51,21
1929631,Isabella Souza,51,51,14
456306,Katrin Fink,51,51,14
1577297,Dorothy Staley,51,51,14
778498,Ortensia Monaldo,51,51,20
1761592,James Jackson,51,51,19
1978029,Yvonne Christiansen,51,51,16
1734698,Peter Omalley,51,51,16
1261460,Elisha Matos,51,51,15
1129799,Dylan Hawkins,51,51,13
2039796,Cupido Portillo,51,51,11
1663056,Joseph Henry,51,51,17
1956840,Fran Vidovic,51,51,13
1333943,Joel Loftus,51,51,14
1334562,Robert Cruz,51,51,15
962529,Rebecca Bryant,51,51,15
1924329,Roy Dunne,51,51,12
599044,Christina Zimmermann,51,51,12
1866388,Sandra Robinson,51,51,17
70912,Evie Wieck,51,51,15
1091801,Maisie Fleming,51,51,13
2081470,Renata Bacic,51,51,15
1428180,Johnny Huckabee,51,51,16
1865718,Paul Alexander,51,51,16
1449155,Mary Gilmour,51,51,14
1223111,James Alsup,51,51,15
1201865,Barbara Thurman,51,51,15
2067371,Tereza Ivanovic,51,51,16
542632,Annett Hoch,50,50,12
1602459,Daniel Simmons,50,50,16
579994,Martina Foerster,50,50,13
1520094,Eric Coker,50,50,15
1659181,Michael Nitz,50,50,13
1373140,Gary Lewis,50,50,15
1659040,Donald Shelton,50,50,15
921384,Courtney Hurst,50,50,18
825894,Timotheus Liefting,50,50,15
1748312,Erika Miller,50,50,13
1295537,Patrick Stephenson,50,50,21
2054922,Branko Antunovic,50,50,16
1855763,Robert Elder,50,50,13
563427,Tobias Faust,50,50,14
2076403,Florence Bridges,50,50,13
1843882,Gloria Stewart,50,50,16
586687,Leonie Pfeiffer,50,50,13
774483,Artemisia Russo,50,50,16
544035,Andreas Eichel,50,50,19
2024029,Blake White,50,50,15
542678,Lea Werfel,50,50,13
1067702,Sophia Hart,50,50,18
1031361,Jordan Walton,50,50,15
758280,Adolfo Genovesi,50,50,16
1919042,Alan Cosic,50,50,13
1465839,Kelly McGill,50,50,15
1992074,Niels Danielsen,50,50,17
161095,Abby Plowman,50,50,15
2044567,Catriona Dickson,50,50,13
350979,Barbara King,50,50,15
48466,Matilda Shields,49,49,14
1144172,Laura Stephens,49,49,9
486542,Christian Drechsler,49,49,18
1502567,Timothy Morales,49,49,12
907297,Morgan Welch,49,49,17
97611,James Steinfeld,49,49,9
725383,Calogero Dellucci,49,49,16
1291414,Brooke Hanna,49,49,14
1808265,Nicholas Benedict,49,49,13
1065004,Freya Lynch,49,49,18
893598,Vinod van de Scheur,49,49,9
2067958,Katarzyna Dudek,49,49,16
1749157,Millard Levell,49,49,12
216550,William Palacios,49,49,9
1865399,Evelyn Hooker,49,49,13
1049490,Emma Fox,49,49,13
1880655,Samantha Alexander,49,49,12
761908,Edda  Zito,49,49,11
543834,Phillipp Gersten,49,49,12
1884908,Eric Ellis,49,49,13
1751091,Marybeth Kelly,49,49,14
1344733,Joan March,49,49,13
1668458,Robert Jonas,49,49,19
1522440,Steven Crawford,49,49,21
1352935,Dave Edwards,49,49,12
1788641,Frederick Haney,49,49,16
2011673,Alexander Kelynack,48,48,15
1389867,Mark Borgman,48,48,15
359587,Kurt Manning,48,48,13
1526388,Tina Spencer,48,48,15
1018779,Natasha Banks,48,48,21
1688411,Christine Coe,48,48,11
1471107,Beth Smith,48,48,12
1556602,Dawn Harper,48,48,11
242542,Colleen Moore,48,48,13
1865305,Laura White,48,48,10
1010245,Bethany Leonard,48,48,10
1567347,Olivia Zack,48,48,12
1913981,Ljuba Brajkovic,48,48,15
961929,Declan Miles,48,48,11
322186,James Gutierrez,48,48,12
1756681,Roberta Ng,48,48,12
1940708,Melissa Souza,48,48,11
1989635,Susana Grant,48,48,9
493252,Dennis Ackerman,48,48,14
1084205,Tyler McDonald,48,48,17
1740873,John Molina,48,48,16
1403355,Micheal Manley,48,48,12
2029619,Madeline Haller,48,48,14
1081604,Francesca Barry,48,48,13
1932745,Seth Torode,48,48,13
1832998,Stephen Shaw,48,48,12
1301542,Audrey Whitaker,48,48,11
51314,Bianca Stobie,48,48,10
1567343,Ilene Otto,48,48,14
1996029,Zbynek David,48,48,14
595540,Mathias Muller,48,48,12
2032411,Eneyen Hern�ndez,48,48,22
1482039,Keith Bouchard,48,48,13
1929451,Satordi Gaulin,48,48,11
417275,Stefan Vogler,48,48,11
1609149,Minnie Shultz,48,48,13
1630103,Catherine Vandemark,48,48,10
483118,Phillipp Koch,48,48,13
2088176,Carlos Young,48,48,10
1452039,Juan Armstrong,48,48,16
906832,Josh Mistry,48,48,16
1484183,Thomas Charpentier,48,48,15
1449187,Elizabeth Brown,48,48,13
1948852,Jan Vlk,48,48,14
721118,Genoveffa Castiglione,48,48,18
1668237,Patricia Clark,48,48,16
1285972,Sherice Turner,48,48,13
1981004,V�clav Voves,48,48,13
1267627,Carol Wilson,47,47,16
1858665,Myrtice Cottrell,47,47,16
1410945,Wendie Vargas,47,47,13
1819146,Charity Meyer,47,47,12
876454,Hilde Bleeker,47,47,12
1827243,Carolyn Major,47,47,13
990554,Joseph Burns,47,47,15
525739,Jessika Neudorf,47,47,15
1571957,Jeffrey Ziegler,47,47,14
1360960,Viola Strickland,47,47,13
710555,Ramiro Ferri,47,47,15
1361042,Jerome Scott,47,47,17
1275061,Margaret Bayne,47,47,12
1287333,Lena Gilmore,47,47,12
328988,Dorothy Carlson,47,47,11
2093071,Scott Stewart,47,47,17
1197932,Harry Pearce,47,47,13
1823278,Eldon Reid,47,47,11
2018869,Elof �berg,47,47,12
942807,Morgan Kennedy,47,47,12
2021107,Jim Jonasson,47,47,13
1042301,Finley Birch,47,47,13
1264805,Fletcher Carver,47,47,14
616346,Jeoffroi Potvin,47,47,13
836435,Geraldo Verkerke,47,47,12
1634778,Sadie Williamson,47,47,15
105647,Anna Komine,47,47,15
1451323,Christopher O'Connor,47,47,16
1130442,William Gardiner,47,47,13
1079159,Katie Nixon,47,47,16
1894588,Paula Dobson,47,47,14
1519236,George Edwards,47,47,10
1592400,Bradley McClain,47,47,16
336562,Daniel Roberson,47,47,13
337695,Lucila Yagi,47,47,20
775239,Tabita  Calabresi,47,47,12
672139,Serge Sarrazin,47,47,10
790329,Gaetana Greece,47,47,12
1227087,Cathie Allen,47,47,18
1610147,Elizabeth Gilliam,47,47,14
1011663,Jodie Marsden,47,47,12
1680728,Mark Wilson,47,47,13
1971983,Lucas Ackerman,47,47,14
396944,Zane Belgrave,47,47,16
690042,Orson Laux,47,47,13
1471397,Elizabeth Peete,47,47,11
463114,Stefan Krueger,47,47,11
2093929,Lucie Hrebackov�,46,46,11
2067182,Amund L�berg,46,46,17
1031068,Abigail Parker,46,46,18
1682660,Brenda Schultz,46,46,12
2064944,Marko Eisenhower,46,46,10
1678823,Carolyn Lewis,46,46,15
1539575,Robert Burns,46,46,10
1861844,Holly Prichard,46,46,13
1550543,Michael Barter,46,46,9
924256,Freddie Alexander,46,46,10
660924,Antoinette Corbin,46,46,18
1371777,Cornell Walker,46,46,10
471223,Stephan Werner,46,46,13
432440,Anna Fuhrmann,46,46,11
1934862,Tauno M�nkk�nen,46,46,13
1569496,Larry Lawrence,46,46,17
2018421,Martin Kr�tk�,46,46,10
715102,Claudia Lo Duca,46,46,16
1102760,Ewan Yates,46,46,11
1097022,Harvey Walsh,46,46,15
1813480,Steven Prado,46,46,16
1981433,Jorja Ferrier,46,46,11
715379,Tito Siciliano,46,46,14
954712,Imogen Gould,46,46,12
1248847,Charles Collins,46,46,18
1450086,Mabel Carrasquillo,46,46,16
65269,Scarlett Roach,46,46,16
689695,Estelle Lacroix,46,46,12
384911,Lizzie Bivona,46,46,16
1979995,Frane Kovac,46,46,13
1749542,Kathleen Lincoln,46,46,12
231984,Kathryn Williams,46,46,15
246420,Willie Sanchez,46,46,12
388302,Kathryn Rush,46,46,11
1350819,Anna London,46,46,18
1926176,Noah Kjeldsen,46,46,10
1390363,Leonard Krueger,45,45,13
1909198,Anais Munguia,45,45,15
1906549,Milada Vargov�,45,45,14
745462,Gualtiero Folliero,45,45,10
1524551,Rosa Karam,45,45,12
1715326,Jeffrey Rothermel,45,45,16
1723530,Ted Miller,45,45,10
1716565,Philip Pena,45,45,9
1512274,Marlene Rowe,45,45,12
1439027,Phyllis Speicher,45,45,13
1813538,George Collier,45,45,15
1167961,Millie Parry,45,45,16
448802,Sven Biermann,45,45,10
1621832,Kathleen Leonard,45,45,12
590960,Stephan Bohm,45,45,15
1324581,Cathleen Amendola,45,45,12
1272497,Rebecca Maynard,45,45,12
1125468,Jamie Howard,45,45,11
478977,Kathrin Maurer,45,45,16
2074986,Andreas Lyberth,45,45,14
2043244,Gustaf Andersson,45,45,14
1494306,Trisha Morton,45,45,12
965207,Joel Lowe,45,45,13
553207,Gabriele Klein,45,45,10
1737466,Christina Miller,45,45,14
1952591,Carolina Goncalves,45,45,17
1681092,Shannon Knight,45,45,11
522334,Sven Drescher,45,45,13
755845,Camillo Esposito,45,45,13
368610,Monica Fish,45,45,12
1022328,Emily Leach,45,45,11
1843636,Arron Carreon,45,45,10
1253732,James Sullivan,45,45,14
1722247,James Sosa,45,45,10
1232332,Harry Smalley,45,45,12
938709,Kiera Buckley,45,45,12
1390823,Marco McKee,45,45,15
1484963,Lynda Fiore,45,45,12
363712,Terry Maze,45,45,14
1893526,David Stewart,45,45,13
744459,Virgilio Trentino,45,45,14
805914,Lotty Jenniskens,45,45,12
1628727,Joanne Chew,45,45,14
1807423,Laura Heath,45,45,14
1093788,Katherine Parker,45,45,18
2015900,Adam �imon,45,45,12
1437052,Latrina Cannon,45,45,11
2040948,Petronio Alicea,45,45,17
1239780,Janet Weiss,45,45,16
1748140,Mary Mendoza,45,45,13
1727561,Vida Brown,45,45,12
127015,Bianca Morwood,45,45,13
1203511,Robert Westbrooks,45,45,16
1892265,Jimmy Mathison,45,45,14
1524904,Lorena Ybarra,45,45,17
1553271,James Gilpin,45,45,11
597262,Petra Kuster,45,45,8
241230,Della Calhoun,45,45,14
501029,Heike Schiffer,45,45,15
914878,Cerys Wallace,44,44,12
908105,Tilly Stevenson,44,44,14
1306536,John Rana,44,44,13
999198,Harriet Fry,44,44,14
1230071,Paul Perkins,44,44,10
1969970,Adam Holyman,44,44,11
1345382,Jose Law,44,44,14
1583892,Christian Ferrell,44,44,12
1443641,David Rush,44,44,10
1202353,Peggy Willis,44,44,10
526851,Jana K�nig,44,44,10
968226,Harriet Foster,44,44,11
2006644,Mio Johnsson,44,44,14
1966972,Kveta Horv�thov�,44,44,11
271825,Denice Major,44,44,16
1287862,Judith Parrish,44,44,14
747984,Iole Mazzanti,44,44,12
1713848,Eva Starnes,44,44,17
2014107,Rosanna Jonsson,44,44,11
1250029,Thomas Guerra,44,44,9
1215660,Frances Bacher,44,44,14
1303360,Betty Johnson,44,44,12
1845069,Brooke Cassette,44,44,19
1261825,Mary Fuller,44,44,12
306301,Daniel Bray,44,44,12
878978,Fidan Raap,44,44,9
1764995,Keshia Jacob,44,44,11
1682386,Ivy Krick,44,44,15
1670940,William Mansfield,44,44,15
2079644,Jonas Durr,44,44,10
1767794,Virginia Howard,44,44,12
1777218,Judith Schultz,44,44,10
2098212,Zdenka Jirkovsk�,44,44,15
1956497,Olli-Pekka Rehn,44,44,17
1404328,Toni Sanderson,44,44,8
1075880,Elliot Jennings,44,44,12
1650783,Anita Hunt,44,44,15
1790366,Katherine Graves,44,44,10
1426096,Jeannette Boyd,44,44,15
773896,Calimero Longo,44,44,13
1697375,Peter Lugo,44,44,12
1996781,Beatrice Alves,44,44,18
812557,Winand Kalpoe,43,43,10
1302679,Genevieve Gibson,43,43,14
1109178,Eva Hewitt,43,43,16
571622,Sven Schulze,43,43,16
407478,Monika Sanger,43,43,13
576875,Juliane Hahn,43,43,12
1530958,Anne Whitacre,43,43,10
1041698,Caitlin Ingram,43,43,10
1860085,Ruth Adams,43,43,14
1246775,Colette Looney,43,43,10
452209,Christin Waechter,43,43,11
1745076,Jeannie Alicea,43,43,13
1721634,Levi Smith,43,43,12
1951594,Warren Christensen,43,43,17
1678562,Glen Jolin,43,43,12
1271947,Angel Gallop,43,43,16
1920064,Vanina Almanza,43,43,15
524697,Torsten Schwartz,43,43,13
1532522,Larry Carter,43,43,15
546432,Anja Gloeckner,43,43,10
1778440,David Jackson,43,43,10
1931525,Victor Almeida,43,43,13
1983111,Marveille Casgrain,43,43,10
1664688,Harold McCormick,43,43,16
1780669,Herbert Petersen,43,43,11
1811432,Bernard Smith,43,43,16
1535347,Elmer Spada,43,43,11
1746527,Charles Ferguson,43,43,9
1845277,Justin Stanford,43,43,11
1268964,Michael Gonzalez,43,43,10
336348,Jonathan Johnson,43,43,13
1537507,Nora Barga,43,43,12
348440,Sixta Perkins,43,43,10
1203564,Christopher Grey,43,43,18
1542784,Vanessa Vazquez,43,43,14
1490226,Kraig Colbert,43,43,15
1956984,Nicolash Barbosa,43,43,16
1422501,Michelle Rice,43,43,9
1833460,John Bishop,43,43,15
586218,Ursula Fink,43,43,10
1744031,Justin Furman,43,43,12
786030,Fabiana  Conti,43,43,17
2037906,Henri Marcoux,43,43,13
1400564,Valerie Turcotte,43,43,13
1503301,Sophie Aguilar,43,43,16
1964759,Marie Dostalov�,43,43,11
1468248,Mary Busby,43,43,18
346204,Stanley Boudreaux,43,43,11
1591113,Edith Elliott,43,43,12
1625704,James Powell,43,43,15
205077,Kathryn Mills,43,43,11
1912902,Pavel C�ek,43,43,10
1921863,Clothilde Bourdette,43,43,12
1185221,Francesca Austin,43,43,15
450600,Vanessa Fuchs,42,42,13
1281023,Kathleen Quijano,42,42,8
879649,Esin Holman,42,42,11
1419573,Julie Payne,42,42,11
1301181,Vanessa Howell,42,42,12
1914029,Sne�ana Delic,42,42,15
127943,Jackson Raw,42,42,10
1132370,Matthew Banks,42,42,9
1531024,Andrea Neighbors,42,42,17
1569144,Felisha Howard,42,42,11
247966,Mary Howze,42,42,13
505485,Benjamin Ehrlichmann,42,42,12
1239387,Michael Odom,42,42,14
829346,Amela Knobben,42,42,12
1921710,Filippa Svendsen,42,42,13
1832086,Mary Woods,42,42,13
930792,Courtney Chapman,42,42,15
1141652,Louise Kelly,42,42,15
1991742,Lucie Nov�kov�,42,42,12
405905,Monika Kuester,42,42,11
1366124,Bryant Leija,42,42,13
1454940,Rosario Brown,42,42,13
1393169,Ralph Knight,42,42,10
253505,Sherry Frazier,42,42,13
1885279,Carla Hastings,42,42,11
1949149,Susanna Berglund,42,42,14
1244285,William Brock,42,42,13
1230348,Warren Newlin,42,42,15
1575457,Jaime Miller,42,42,15
443143,Nicole Unger,42,42,13
1900738,Liam Dunningham,42,42,14
1771225,Mary Daniel,42,42,13
1750554,Toni Morel,42,42,8
151499,Logan MacMahon,42,42,11
2006826,Mary Knight,42,42,12
1763456,Carol Fulton,42,42,11
1371642,Shirley Bryan,42,42,15
1115222,Rebecca Bray,42,42,14
363584,Mandy Serna,42,42,12
1410514,Donna Groesbeck,42,42,12
1301565,Daniel Spencer,42,42,11
1998481,Mette Bruun,42,42,9
631580,Henri Henrichon,42,42,12
411768,Tobias Engel,42,42,13
1702898,Dee Pickens,42,42,14
322806,Joshua Free,42,42,12
302755,Anthony Buchanan,42,42,10
1495200,Cythia Smith,42,42,12
946719,John Faulkner,42,42,14
439991,Sandra Braun,42,42,13
923232,Andrew Bibi,42,42,12
1541789,Mike Sample,41,41,12
1451193,Rosemary Ward,41,41,11
1854563,Faye Cloud,41,41,11
390926,Grace Schweitzer,41,41,14
1113081,Evie White,41,41,14
1784517,Lisa Fitzgerald,41,41,12
1338243,Joan Hoang,41,41,9
1821463,Willie Cunningham,41,41,13
2053838,Pamp�n Rico,41,41,12
299334,Laurie Pooley,41,41,12
126083,Makayla Rickards,41,41,10
1369363,Jose Schmidt,41,41,12
1796733,Staci Warren,41,41,13
1217450,Bonnie Linkous,41,41,9
770560,Tarquinia Cremonesi,41,41,9
1324262,Guy Brown,41,41,9
1168033,John Hamilton,41,41,8
1060009,Amy Walsh,41,41,13
322714,Mary Killingsworth,41,41,9
1694752,Maria Gamble,41,41,12
1566368,Michelle Washington,41,41,12
366123,Joseph Rockey,41,41,9
1527126,Raymond Saunders,41,41,10
1852515,Albert Pickney,41,41,11
1196684,Ryan French,41,41,10
668117,Merlin Loiseau,41,41,11
1232857,Jessica Stevenson,41,41,13
1150012,Harrison North,41,41,10
1475761,Ana Phillips,41,41,12
1722802,Robert Stancil,41,41,11
1046044,Louie Edwards,41,41,8
2091204,Knud Davidsen,41,41,16
1909649,Karin Faerber,41,41,13
737978,Silvio Pinto,41,41,16
292643,Shawn Dunning,41,41,12
1347880,Kathleen Huerta,41,41,10
1000168,Jamie Allen,41,41,10
1003599,William Hawkins,41,41,10
1041067,Jade Wilkins,41,41,12
1373535,Jerry Kennison,41,41,10
1796950,Mary Fernandez,41,41,12
1236959,Ollie O'Sullivan,41,41,10
1561561,Patricia Crawford,41,41,10
259842,Jonell Beauford,41,41,14
1708493,Dana Roberson,41,41,14
1354140,John Woody,41,41,17
399053,Gloria Daley,41,41,11
1335146,John Banks,41,41,9
967098,Tia Mahmood,41,41,11
986569,Yasmin Potter,41,41,15
